code	lang	name	shortname
1130	en	Estuaries	Estuaries
1140	en	Mudflats and sandflats not covered by seawater at low tide	Mud- and sandflats
1310	en	Salicornia and other annuals colonizing mud and sand	Brackish pioneer habitats
1310_pol	en	Salicornia habitats dike inward	Salicornia habitats dike inward
1310_zk	en	Low saltmarshes Salicornia habitats dike outward	Low saltmarshes dike outward
1310_zv	en	High saltmarshes Saginion habitats dike outward	High saltmarshes dike outward
1320	en	Spartina swards (Spartinion maritimae)	Spartina swards
1330	en	Atlantic salt meadows (Glauco-Puccinellietalia maritimae)	Atlantic salt meadows
1330_da	en	Saltmarshes dike outward	Saltmarshes dike outward
1330_hpr	en	Halophytic grasslands dike inward	Halophytic grassland
2110	en	Embryonic shifting dunes	Embryonic dunes
2120	en	Shifting dunes along the shoreline with Ammophila arenaria ('white dunes')	White dunes
2130	en	Fixed coastal dunes with herbaceous vegetation ('grey dunes')	Grey dunes
2130_had	en	Decalcified dune grasslands	Decalcified grey dunes
2130_hd	en	Calcareous dune grasslands	Calcareous grey dunes
2150	en	Atlantic decalcified fixed dunes (Calluno-Ulicetea)	Calluna dune heaths
2160	en	Dunes with Hippophaë rhamnoides	Hippophaë rhamnoides dunes
2170	en	Dunes with Salix repens ssp. argentea (Salicion arenariae)	Salix repens dunes
2180	en	Wooded dunes of the Atlantic, Continental and Boreal region	Wooded dunes
2190	en	Humid dune slacks	Humid dune slacks
2190_a	en	Dune slack ponds	Dune slack ponds
2190_mp	en	Calcareous dune slacks	Calcareous dune slacks
2190_overig	en	Other dune slacks	Other dune slacks
2310	en	Dry sand heaths with Calluna and Genista	Psammophylic heath
2330	en	Inland dunes with open Corynephorus and Agrostis grasslands	Inland shifting dunes
2330_bu	en	Inland dunes with Corynephorus	Inland dunes with Corynephorus
2330_dw	en	Inland dunes with Aira	Inland dunes with Aira
3110	en	Oligotrophic waters containing very few minerals of sandy plains (Littorelletalia uniflorae)	Barely buffered standing waters
3130	en	Oligotrophic to mesotrophic standing waters with vegetation of the Littorelletea uniflorae and/or of the Isoëto-Nanojuncetea	Poorly buffered standing waters
3130_aom	en	Oligotrophic to mesotrophic standing waters with vegetation of the Littorelletea uniflorae	Oligotrophic to mesotrophic standing waters
3130_na	en	Oligotrophic to mesotrophic standing waters with vegetation of the Isoëto-Nanojuncetea	Isoëto-Nanojuncetea habitats
3140	en	Hard oligo-mesotrophic waters with benthic vegetation of Chara spp.	Standing waters with Chara
3150	en	Natural eutrophic lakes with Magnopotamion or Hydrocharition - type vegetation	Lakes with Stratiotes and Potamogeton
3160	en	Natural dystrophic lakes and ponds	Dystrophic standing waters
